ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
i chose,465,4.484,89.7
placements good,33,4.444,88.9
every year,412,4.549,91.0
about my,64,4.470,89.4
and interesting,28,4.504,90.1
flipkart and,37,4.682,93.6
are well,614,4.552,91.0
problem with,20,4.627,92.5
total marks,2,4.700,94.0
around lpa,396,4.543,90.9
advanced exam,14,4.586,91.7
clear the,31,4.477,89.5
in what,6,4.633,92.7
is an,264,4.540,90.8
their research,61,4.560,91.2
you have,314,4.543,90.9
exam to,16,4.475,89.5
this exam,6,4.800,96.0
the number,114,4.495,89.9
come to,153,4.533,90.7
rooms became,2,4.700,94.0
jun read,237,4.614,92.3
main exam,4,4.500,90.0
and has,177,4.569,91.4
college which,34,4.522,90.4
also come,28,4.552,91.0
and s,2,4.700,94.0
almost of,273,4.522,90.4
is somewhere,6,4.417,88.3
canteens are,74,4.556,91.1
affordable and,14,4.311,86.2
adjustable the,4,4.500,90.0
this is,267,4.533,90.7
hold many,2,4.700,94.0
rooms were,41,4.574,91.5
companies visit,135,4.571,91.4
batch in,10,4.560,91.2
prepare us,6,4.433,88.7
the dream,29,4.276,85.5
became shared,2,4.700,94.0
an entrance,4,4.700,94.0
us for,16,4.525,90.5
to iit,69,4.542,90.8
visit iitb,4,4.850,97.0
many patents,2,4.700,94.0
taught by,30,4.323,86.5
for a,249,4.534,90.7
faculty at,38,4.539,90.8
iitb infrastructure,4,4.650,93.0
is usually,36,4.450,89.0
originally designed,2,4.700,94.0
most of,732,4.555,91.1
b bhogalapalli,2,4.700,94.0
dream college,65,4.469,89.4
is served,41,4.677,93.5
senior batch,94,4.619,92.4
exams the,45,4.604,92.1
for future,15,4.553,91.1
passed and,6,4.700,94.0
a single,91,4.449,89.0
throughout most,2,4.700,94.0
been placed,29,4.628,92.6
abroad the,19,4.653,93.1
the jee,25,4.436,88.7
studies abroad,12,4.750,95.0
excellent we,10,4.610,92.2
were built,22,4.645,92.9
intended to,4,4.700,94.0
read this,4,4.600,92.0
s and,22,4.682,93.6
to write,15,4.600,92.0
only problem,9,4.622,92.4
lpa the,525,4.546,90.9
who hold,2,4.700,94.0
but as,63,4.568,91.4
is that,221,4.559,91.2
about the,266,4.528,90.6
placements almost,231,4.631,92.6
money about,8,4.600,92.0
iitb they,2,4.700,94.0
time passed,4,4.450,89.0
bhogalapalli sandesh,2,4.700,94.0
to prepare,44,4.550,91.0
we have,702,4.571,91.4
the total,58,4.495,89.9
quant companies,14,4.671,93.4
is big,24,4.558,91.2
infrastructure the,1069,4.539,90.8
and development,41,4.502,90.0
have been,147,4.531,90.6
entrance test,2,4.700,94.0
the semester,349,4.499,90.0
shared which,2,4.700,94.0
comfortable the,12,4.600,92.0
patents in,2,4.700,94.0
with being,4,4.600,92.0
to exams,2,4.700,94.0
lucky to,12,4.733,94.7
individuals who,4,4.650,93.0
marks other,22,4.618,92.4
is excellent,259,4.580,91.6
exams is,39,4.523,90.5
teach coming,2,4.700,94.0
built way,2,4.700,94.0
single student,10,4.340,86.8
well versed,32,4.448,89.0
students increased,2,4.700,94.0
designed for,16,4.603,92.1
first clear,4,4.688,93.8
number of,325,4.558,91.2
write this,2,4.700,94.0
intellectual individuals,2,4.700,94.0
iitb is,28,4.646,92.9
in exams,28,4.414,88.3
has many,67,4.628,92.6
cse and,21,4.512,90.2
test for,2,4.700,94.0
increased rooms,2,4.700,94.0
is intended,2,4.700,94.0
what they,56,4.463,89.3
very lucky,2,4.700,94.0
is somewhat,22,4.264,85.3
versed in,16,4.550,91.0
back in,4,4.450,89.0
have wi,65,4.442,88.8
are affordable,4,4.550,91.0
served there,6,4.700,94.0
students have,189,4.513,90.3
bombay there,8,4.800,96.0
that hostels,2,4.700,94.0
gone for,4,4.550,91.0
maintained the,65,4.425,88.5
many resources,3,4.800,96.0
have gone,6,4.367,87.3
have to,381,4.501,90.0
at iitb,25,4.608,92.2
usually around,10,4.260,85.2
and tasty,31,4.503,90.1
somewhere around,16,4.494,89.9
rest have,6,4.233,84.7
research i,4,4.662,93.2
challenges the,2,4.700,94.0
exam you,6,4.633,92.7
there faculty,37,4.445,88.9
they teach,156,4.543,90.9
tough this,6,4.500,90.0
jee main,10,4.400,88.0
famous quant,2,4.700,94.0
